id;start_date;end_date;duration
343;2003-11-07;2003-11-08;1.0
344;2004-10-22;2004-10-23;1.0
345;2005-10-28;2005-10-29;1.0
346;2006-10-27;2006-10-28;1.0
347;2007-10-31;2007-11-03;3.0
348;2008-11-06;2008-11-08;2.0
349;2009-11-11;2009-11-15;4.0
350;1997-11-14;1997-11-16;2.0
351;2014-04-10;2014-04-12;2.0
352;2015-04-09;2015-04-11;2.0
353;2016-05-27;2016-05-27;0.0
354;2020-11-18;2020-11-20;2.0
355;2020-02-28;2020-02-29;1.0
356;2016-05-02;2016-05-02;0.0
357;2017-06-02;2017-06-02;0.0
358;2018-06-01;2018-06-01;0.0
359;2019-06-07;2019-06-07;0.0
360;2009-10-15;2009-10-16;1.0
361;2012-03-20;2012-03-21;1.0
362;2013-12-05;2013-12-06;1.0
363;2012-09-06;2012-09-08;2.0
364;2014-09-04;2014-09-06;2.0
365;2016-09-08;2016-09-10;2.0
366;2018-09-06;2018-09-08;2.0
367;2011-09-24;2011-09-24;0.0
368;2012-09-20;2012-09-22;2.0
369;2013-09-12;2013-09-14;2.0
370;2014-09-12;2014-09-13;1.0
371;2015-09-24;2015-09-26;2.0
372;2016-10-01;2016-10-01;0.0
373;2017-09-28;2017-09-29;1.0
374;2019-10-03;2019-10-04;1.0
375;2018-10-04;2018-10-06;2.0
376;2019-10-10;2019-10-12;2.0
377;2020-10-01;2020-10-03;2.0
378;2016-04-08;2016-04-09;1.0
379;2017-03-16;2017-03-17;1.0
380;2018-03-22;2018-03-23;1.0
381;2019-03-21;2019-03-22;1.0
382;2020-03-26;2020-03-27;1.0
383;2019-01-18;2019-01-19;1.0
384;2020-02-21;2020-02-22;1.0
385;2015-03-25;2015-03-25;0.0
386;2017-06-20;2017-06-20;0.0
387;2013-02-07;2013-02-07;0.0
388;2014-04-10;2014-04-11;1.0
389;2015-04-09;2015-04-10;1.0
390;2016-04-07;2016-04-08;1.0
391;2017-04-06;2017-04-07;1.0
392;2018-10-25;2018-10-26;1.0
393;2018-04-12;2018-04-13;1.0
394;2016-12-01;2016-12-03;2.0
395;1990-05-09;1990-05-12;3.0
396;1994-04-13;1994-04-16;3.0
397;2011-02-03;2011-02-05;2.0
398;2011-03-10;2011-03-12;2.0
399;2011-05-26;2011-05-28;2.0
400;1960-11-24;1960-11-26;2.0
401;1964-06-06;1964-06-06;0.0
402;1967-08-03;1967-08-05;2.0
403;1969-04-04;1969-04-05;1.0
404;1970-08-16;1970-09-06;21.0
405;2013-10-03;2013-10-05;2.0
406;2014-06-20;2014-06-22;2.0
407;2015-02-27;2015-02-28;1.0
408;2016-08-12;2016-08-14;2.0
409;2018-10-22;2018-10-24;2.0
410;2018-06-04;2018-06-05;1.0
411;2018-06-04;2018-06-05;1.0
412;2019-10-15;2019-10-17;2.0
413;2019-03-18;2019-03-19;1.0
414;2019-04-01;2019-04-02;1.0
415;2019-11-28;2019-11-29;1.0
416;2019-12-09;2019-12-11;2.0
417;2020-10-01;2020-10-04;3.0
419;2008-05-29;2008-06-01;3.0
420;2010-06-03;2010-06-06;3.0
421;2012-06-20;2012-06-23;3.0
422;2013-09-23;2013-09-28;5.0
423;2014-06-19;2014-06-21;2.0
424;2015-08-05;2015-08-07;2.0
425;2016-06-10;2016-06-12;2.0
426;2017-07-18;2017-07-22;4.0
427;2018-08-13;2018-08-17;4.0
428;2019-07-15;2019-07-17;2.0
429;2020-07-16;2020-07-19;3.0
455;2019-10-14;2019-10-16;2.0
456;2018-10-15;2018-10-17;2.0
457;2017-10-22;2017-10-26;4.0
458;1969-06-30;1969-07-02;2.0
459;2016-11-07;2016-11-09;2.0
460;2015-10-26;2015-10-28;2.0
461;2014-10-27;2014-10-29;2.0
462;2013-11-04;2013-11-06;2.0
463;2012-11-04;2012-11-05;1.0
464;2011-10-31;2011-11-01;1.0
465;2010-11-01;2010-11-03;2.0
466;2009-11-11;2009-11-12;1.0
467;2009-05-04;2009-05-06;2.0
468;2008-04-28;2008-04-30;2.0
469;2008-11-12;2008-11-14;2.0
470;2007-04-23;2007-04-25;2.0
471;2007-11-05;2007-11-07;2.0
472;2006-04-10;2006-04-12;2.0
473;2006-11-08;2006-11-10;2.0
474;2005-04-13;2005-04-15;2.0
475;2005-11-07;2005-11-09;2.0
476;2004-04-19;2004-04-21;2.0
477;2004-10-25;2004-10-27;2.0
478;2003-05-14;2003-05-16;2.0
479;2003-11-17;2003-11-19;2.0
480;2002-05-10;2002-05-12;2.0
481;2002-11-04;2002-11-05;1.0
482;2001-05-04;2001-05-06;2.0
483;2001-11-16;2001-11-18;2.0
484;2000-03-31;2000-04-02;2.0
485;2000-11-18;2000-11-20;2.0
486;1999-07-17;1999-07-18;1.0
487;2018-04-09;2018-04-13;4.0
488;2021-04-12;2021-04-16;4.0
490;1970-06-15;1970-06-17;2.0
492;1966-11-17;1966-11-18;1.0
493;1966-12-29;1966-12-29;0.0
495;2020-07-20;2020-07-25;5.0
497;2017-07-03;2017-07-05;2.0
498;2020-11-18;2020-11-20;2.0
499;2018-11-07;2018-11-09;2.0
500;2016-11-07;2016-11-09;2.0
501;2014-11-17;2014-11-19;2.0
503;2021-04-12;2021-04-15;3.0
504;2008-04-30;2008-05-03;3.0
505;2021-04-12;2021-04-15;3.0
506;2021-06-02;2021-06-04;2.0
507;2021-05-30;2021-06-02;3.0
508;2020-05-31;2020-06-03;3.0
